"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-694,1144,450,2016
2011,-1180,2437,1257,2016
2012,-2596,4108,1512,2016
2013,-4017,5395,1378,2016
2014,-4926,6068,1142,2016
2015,-4794,6197,1403,2016
2016,-801,9444,8643,2016
2017,5661,13791,19452,2016
2018,12292,20351,32643,2016
2019,20966,27734,48700,2016
2020,28521,36279,64800,2016
2021,36438,44464,80902,2016
2022,45977,53897,99874,2016
2023,56935,62974,119909,2016
2024,67679,72157,139836,2016
2025,79568,80846,160414,2016
2026,91682,90359,182041,2016
2027,102935,99477,202412,2016
2028,114747,107163,221910,2016
2029,128386,113506,241892,2016
2030,139505,120249,259754,2016
2031,151074,126945,278019,2016
2032,163177,133495,296672,2016
2033,175721,139094,314815,2016
2034,189699,143649,333348,2016
2035,202556,148706,351262,2016
2036,216044,152865,368909,2016
2037,231551,157730,389281,2016
2038,246443,163206,409649,2016
2039,260234,170026,430260,2016
2040,274972,175590,450562,2016
2041,290491,181736,472227,2016
2042,304547,188310,492857,2016
2043,317749,194428,512177,2016
2044,331838,199182,531020,2016
2045,343825,204419,548244,2016
2046,355076,209689,564765,2016
2047,365276,213600,578876,2016
2048,374380,216311,590691,2016
2049,383171,217924,601095,2016
2050,396148,219189,615337,2016
2051,407741,221288,629029,2016
2052,417661,222939,640600,2016
2053,425527,223836,649363,2016
2054,434980,224028,659008,2016
2055,445505,225302,670807,2016
2056,455849,226233,682082,2016
2057,466551,226659,693210,2016
2058,475860,228113,703973,2016
2059,483369,227447,710816,2016
2060,492117,227799,719916,2016
2010,-2291,552,-1739,2017
2011,-3507,1283,-2224,2017
2012,-5420,2019,-3401,2017
2013,-7065,2498,-4567,2017
2014,-8676,2276,-6400,2017
2015,-9655,1648,-8007,2017
2016,-10260,2338,-7922,2017
2017,-7520,4604,-2916,2017
2018,-3586,9721,6135,2017
2019,1955,15462,17417,2017
2020,6725,22890,29615,2017
2021,11903,30703,42606,2017
2022,18828,39355,58183,2017
2023,26907,48164,75071,2017
2024,36093,55612,91705,2017
2025,46442,62187,108629,2017
2026,56518,69010,125528,2017
2027,67849,75553,143402,2017
2028,79463,81132,160595,2017
2029,93224,86125,179349,2017
2030,105999,90911,196910,2017
2031,118402,94590,212992,2017
2032,132221,97687,229908,2017
2033,145737,100443,246180,2017
2034,158745,103013,261758,2017
2035,171894,106205,278099,2017
2036,185115,109476,294591,2017
2037,199047,113240,312287,2017
2038,215213,116975,332188,2017
2039,230357,121432,351789,2017
2040,244267,123213,367480,2017
2041,260199,126399,386598,2017
2042,272999,130759,403758,2017
2043,286156,135453,421609,2017
2044,299126,139216,438342,2017
2045,310459,143014,453473,2017
2046,321988,144192,466180,2017
2047,333307,144494,477801,2017
2048,343034,144866,487900,2017
2049,351863,146479,498342,2017
2050,360901,148209,509110,2017
2051,369645,151158,520803,2017
2052,376965,154335,531300,2017
2053,380902,156395,537297,2017
2054,388875,157757,546632,2017
2055,395925,160405,556330,2017
2056,403863,160976,564839,2017
2057,412953,160853,573806,2017
2058,422261,161471,583732,2017
2059,428452,160818,589270,2017
2060,436254,161427,597681,2017
2010,-1096,1075,-21,2018
2011,-2183,2078,-105,2018
2012,-3397,3099,-298,2018
2013,-4691,3642,-1049,2018
2014,-5690,3263,-2427,2018
2015,-6140,3364,-2776,2018
2016,-6769,4311,-2458,2018
2017,-5883,5117,-766,2018
2018,-3291,8774,5483,2018
2019,1364,13680,15044,2018
2020,4953,20416,25369,2018
2021,9729,27353,37082,2018
2022,16197,35652,51849,2018
2023,23884,43924,67808,2018
2024,32259,51159,83418,2018
2025,43163,58932,102095,2018
2026,53576,66684,120260,2018
2027,63323,74020,137343,2018
2028,72472,80125,152597,2018
2029,84277,84831,169108,2018
2030,94619,89565,184184,2018
2031,106825,94588,201413,2018
2032,119444,99176,218620,2018
2033,133127,103419,236546,2018
2034,146066,107563,253629,2018
2035,158805,112062,270867,2018
2036,171422,116376,287798,2018
2037,184149,120492,304641,2018
2038,196917,124700,321617,2018
2039,207471,129681,337152,2018
2040,217631,132844,350475,2018
2041,228917,137489,366406,2018
2042,239664,143016,382680,2018
2043,249864,148440,398304,2018
2044,260639,153088,413727,2018
2045,270834,158556,429390,2018
2046,281487,162404,443891,2018
2047,292318,165149,457467,2018
2048,302421,167186,469607,2018
2049,312695,169129,481824,2018
2050,323944,171177,495121,2018
2051,335952,174593,510545,2018
2052,345406,177762,523168,2018
2053,352398,180434,532832,2018
2054,361061,182437,543498,2018
2055,369545,185803,555348,2018
2056,378427,187392,565819,2018
2057,386335,188461,574796,2018
2058,392445,191017,583462,2018
2059,396486,191581,588067,2018
2060,400269,192851,593120,2018
2010,-286,984,698,2019
2011,-799,2196,1397,2019
2012,-1251,3889,2638,2019
2013,-1242,5156,3914,2019
2014,-1506,5834,4328,2019
2015,-1225,6340,5115,2019
2016,-1035,7315,6280,2019
2017,254,7855,8109,2019
2018,608,9020,9628,2019
2019,4630,11901,16531,2019
2020,7824,16295,24119,2019
2021,13222,21558,34780,2019
2022,19827,28421,48248,2019
2023,27834,35469,63303,2019
2024,37336,41936,79272,2019
2025,47989,49476,97465,2019
2026,58155,57752,115907,2019
2027,67511,66052,133563,2019
2028,76902,73453,150355,2019
2029,89404,79349,168753,2019
2030,101225,85004,186229,2019
2031,113473,91414,204887,2019
2032,126256,96822,223078,2019
2033,140372,100963,241335,2019
2034,154682,104837,259519,2019
2035,168543,108878,277421,2019
2036,182329,112150,294479,2019
2037,196152,115922,312074,2019
2038,210347,119608,329955,2019
2039,222682,124693,347375,2019
2040,234931,127864,362795,2019
2041,248432,131577,380009,2019
2042,260625,136759,397384,2019
2043,273345,142010,415355,2019
2044,285190,146943,432133,2019
2045,295611,151791,447402,2019
2046,306355,156761,463116,2019
2047,318664,160622,479286,2019
2048,327937,162707,490644,2019
2049,336473,164694,501167,2019
2050,346682,166346,513028,2019
2051,355385,169181,524566,2019
2052,364323,171877,536200,2019
2053,368791,172821,541612,2019
2054,376768,173175,549943,2019
2055,383485,175355,558840,2019
2056,389305,176012,565317,2019
2057,394337,174968,569305,2019
2058,397763,175196,572959,2019
2059,402239,174380,576619,2019
2060,407442,173654,581096,2019
2010,72,1092,1164,2020
2011,-329,2424,2095,2020
2012,-468,4128,3660,2020
2013,130,5447,5577,2020
2014,351,6485,6836,2020
2015,1243,7371,8614,2020
2016,2546,8632,11178,2020
2017,4035,9529,13564,2020
2018,4735,10770,15505,2020
2019,6472,11737,18209,2020
2020,7762,14619,22381,2020
2021,11831,18332,30163,2020
2022,17285,24204,41489,2020
2023,24948,30240,55188,2020
2024,34572,36290,70862,2020
2025,45334,43430,88764,2020
2026,55756,51198,106954,2020
2027,66357,58617,124974,2020
2028,76259,65705,141964,2020
2029,86943,72022,158965,2020
2030,97295,77449,174744,2020
2031,107856,84177,192033,2020
2032,119318,90802,210120,2020
2033,131050,97172,228222,2020
2034,143468,103290,246758,2020
2035,155621,109996,265617,2020
2036,168764,116042,284806,2020
2037,182873,122331,305204,2020
2038,197525,127770,325295,2020
2039,212583,133398,345981,2020
2040,225554,137854,363408,2020
2041,239286,142543,381829,2020
2042,250107,148243,398350,2020
2043,260718,153713,414431,2020
2044,271742,159671,431413,2020
2045,283238,166469,449707,2020
2046,293287,172713,466000,2020
2047,303789,176954,480743,2020
2048,312189,181426,493615,2020
2049,319170,185553,504723,2020
2050,328644,189439,518083,2020
2051,338249,193806,532055,2020
2052,346484,195956,542440,2020
2053,353759,197621,551380,2020
2054,364822,198668,563490,2020
2055,375028,200618,575646,2020
2056,384041,202247,586288,2020
2057,392758,201462,594220,2020
2058,400419,201988,602407,2020
2059,408825,202032,610857,2020
2060,416676,202658,619334,2020
