"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,1255,116,1371,2016
2011,3364,359,3723,2016
2012,4849,554,5403,2016
2013,6104,389,6493,2016
2014,7935,25,7960,2016
2015,9701,-420,9281,2016
2016,23717,7555,31272,2016
2017,46074,20863,66937,2016
2018,70935,38843,109778,2016
2019,99186,60144,159330,2016
2020,130632,85809,216441,2016
2021,165701,111851,277552,2016
2022,201265,139361,340626,2016
2023,237779,169077,406856,2016
2024,276586,197311,473897,2016
2025,314643,224286,538929,2016
2026,350592,252074,602666,2016
2027,386896,278817,665713,2016
2028,421804,303335,725139,2016
2029,457053,325992,783045,2016
2030,490432,347922,838354,2016
2031,524869,369774,894643,2016
2032,560779,389721,950500,2016
2033,597663,406382,1004045,2016
2034,635153,422179,1057332,2016
2035,671007,438752,1109759,2016
2036,706199,454676,1160875,2016
2037,744284,470262,1214546,2016
2038,781484,485840,1267324,2016
2039,816478,502210,1318688,2016
2040,852242,516380,1368622,2016
2041,888922,533252,1422174,2016
2042,921828,550978,1472806,2016
2043,955136,567209,1522345,2016
2044,986410,583990,1570400,2016
2045,1014761,600743,1615504,2016
2046,1042903,615885,1658788,2016
2047,1071554,629183,1700737,2016
2048,1099129,641189,1740318,2016
2049,1124132,651273,1775405,2016
2050,1149683,662080,1811763,2016
2051,1175925,672799,1848724,2016
2052,1199979,683261,1883240,2016
2053,1221607,692362,1913969,2016
2054,1245612,701305,1946917,2016
2055,1268733,710919,1979652,2016
2056,1289677,720220,2009897,2016
2057,1313881,727869,2041750,2016
2058,1336836,736558,2073394,2016
2059,1359134,744319,2103453,2016
2060,1381950,753291,2135241,2016
2010,-1310,1107,-203,2017
2011,-2208,2383,175,2017
2012,-3130,3549,419,2017
2013,-4035,5055,1020,2017
2014,-3826,5204,1378,2017
2015,-3909,5347,1438,2017
2016,-4595,6894,2299,2017
2017,7704,16119,23823,2017
2018,24736,31771,56507,2017
2019,47714,50592,98306,2017
2020,75236,73391,148627,2017
2021,105910,96538,202448,2017
2022,138338,123142,261480,2017
2023,172961,150674,323635,2017
2024,210003,178012,388015,2017
2025,246590,205217,451807,2017
2026,282850,233226,516076,2017
2027,319007,261054,580061,2017
2028,354185,286138,640323,2017
2029,389699,309740,699439,2017
2030,425041,332838,757879,2017
2031,461643,354206,815849,2017
2032,498295,373448,871743,2017
2033,535657,391240,926897,2017
2034,572678,408376,981054,2017
2035,608795,424678,1033473,2017
2036,643043,439796,1082839,2017
2037,679545,455037,1134582,2017
2038,714070,469666,1183736,2017
2039,746252,484578,1230830,2017
2040,780300,497592,1277892,2017
2041,814524,512363,1326887,2017
2042,846727,526333,1373060,2017
2043,877217,540340,1417557,2017
2044,906117,554317,1460434,2017
2045,932783,568973,1501756,2017
2046,960000,582163,1542163,2017
2047,987147,595255,1582402,2017
2048,1012862,608750,1621612,2017
2049,1037457,621181,1658638,2017
2050,1063853,633121,1696974,2017
2051,1089214,645558,1734772,2017
2052,1113201,658310,1771511,2017
2053,1135610,668094,1803704,2017
2054,1158255,677333,1835588,2017
2055,1181464,686844,1868308,2017
2056,1204473,695334,1899807,2017
2057,1226646,702081,1928727,2017
2058,1247866,710621,1958487,2017
2059,1266250,717725,1983975,2017
2060,1286583,725223,2011806,2017
2010,-90,1560,1470,2018
2011,740,2775,3515,2018
2012,1114,3555,4669,2018
2013,2987,4532,7519,2018
2014,4513,4616,9129,2018
2015,6850,5375,12225,2018
2016,8588,6694,15282,2018
2017,12332,8307,20639,2018
2018,24620,18684,43304,2018
2019,42715,33188,75903,2018
2020,65074,52453,117527,2018
2021,92328,74385,166713,2018
2022,122976,99051,222027,2018
2023,155977,125486,281463,2018
2024,190721,151954,342675,2018
2025,227720,178131,405851,2018
2026,263824,204562,468386,2018
2027,300305,229882,530187,2018
2028,335297,254251,589548,2018
2029,370642,276869,647511,2018
2030,405475,298771,704246,2018
2031,442401,319848,762249,2018
2032,479027,339363,818390,2018
2033,517311,357571,874882,2018
2034,554954,374503,929457,2018
2035,589112,392551,981663,2018
2036,623193,410056,1033249,2018
2037,659403,427505,1086908,2018
2038,696684,444590,1141274,2018
2039,732428,461760,1194188,2018
2040,769410,476944,1246354,2018
2041,807975,492952,1300927,2018
2042,845292,508667,1353959,2018
2043,880410,522581,1402991,2018
2044,914452,536570,1451022,2018
2045,947683,550728,1498411,2018
2046,980432,563452,1543884,2018
2047,1011249,575636,1586885,2018
2048,1041218,587154,1628372,2018
2049,1069933,597434,1667367,2018
2050,1100728,607660,1708388,2018
2051,1129025,617433,1746458,2018
2052,1153792,626653,1780445,2018
2053,1176321,634173,1810494,2018
2054,1199792,642226,1842018,2018
2055,1221154,650091,1871245,2018
2056,1242893,657702,1900595,2018
2057,1264808,663735,1928543,2018
2058,1286889,670895,1957784,2018
2059,1306710,675632,1982342,2018
2060,1325580,680652,2006232,2018
2010,-631,511,-120,2019
2011,330,1449,1779,2019
2012,1473,2231,3704,2019
2013,1868,2519,4387,2019
2014,3212,2198,5410,2019
2015,5283,1581,6864,2019
2016,6489,2158,8647,2019
2017,9226,2759,11985,2019
2018,9124,2975,12099,2019
2019,19534,10826,30360,2019
2020,35450,25540,60990,2019
2021,57839,44085,101924,2019
2022,82826,66205,149031,2019
2023,111881,91555,203436,2019
2024,144359,116259,260618,2019
2025,179275,141038,320313,2019
2026,213800,167322,381122,2019
2027,248649,193994,442643,2019
2028,281932,219710,501642,2019
2029,316771,243227,559998,2019
2030,352204,265871,618075,2019
2031,388576,288406,676982,2019
2032,426290,309672,735962,2019
2033,464565,329457,794022,2019
2034,504215,348440,852655,2019
2035,539871,366097,905968,2019
2036,575850,383577,959427,2019
2037,613114,401027,1014141,2019
2038,648937,418146,1067083,2019
2039,684096,435922,1120018,2019
2040,720602,451973,1172575,2019
2041,756949,468140,1225089,2019
2042,790849,484587,1275436,2019
2043,822746,500646,1323392,2019
2044,856193,517169,1373362,2019
2045,886864,533880,1420744,2019
2046,918431,547703,1466134,2019
2047,950611,561426,1512037,2019
2048,981915,573443,1555358,2019
2049,1013235,584457,1597692,2019
2050,1044057,594199,1638256,2019
2051,1074438,604735,1679173,2019
2052,1101931,614814,1716745,2019
2053,1129724,623479,1753203,2019
2054,1156157,631830,1787987,2019
2055,1182776,639626,1822402,2019
2056,1207726,645702,1853428,2019
2057,1233887,651302,1885189,2019
2058,1257121,657578,1914699,2019
2059,1280727,662444,1943171,2019
2060,1303733,668806,1972539,2019
2010,-1628,975,-653,2020
2011,-1813,2413,600,2020
2012,-1931,3753,1822,2020
2013,-1543,4551,3008,2020
2014,-873,4729,3856,2020
2015,262,4616,4878,2020
2016,1452,5427,6879,2020
2017,3492,6809,10301,2020
2018,3167,8602,11769,2020
2019,1986,9795,11781,2020
2020,10473,19381,29854,2020
2021,25573,33503,59076,2020
2022,45648,50940,96588,2020
2023,69692,71680,141372,2020
2024,98673,92867,191540,2020
2025,130547,116033,246580,2020
2026,163230,142130,305360,2020
2027,197399,168612,366011,2020
2028,229544,193724,423268,2020
2029,262597,217432,480029,2020
2030,296709,241448,538157,2020
2031,331078,265584,596662,2020
2032,367533,287529,655062,2020
2033,404795,308034,712829,2020
2034,441920,327763,769683,2020
2035,476817,345040,821857,2020
2036,511646,361470,873116,2020
2037,547522,378380,925902,2020
2038,583498,393976,977474,2020
2039,618589,410143,1028732,2020
2040,657144,424573,1081717,2020
2041,695450,440047,1135497,2020
2042,732768,456057,1188825,2020
2043,767748,472332,1240080,2020
2044,802041,488860,1290901,2020
2045,834303,504347,1338650,2020
2046,866859,519846,1386705,2020
2047,899865,534488,1434353,2020
2048,930721,547602,1478323,2020
2049,960143,560627,1520770,2020
2050,988657,572249,1560906,2020
2051,1014487,583640,1598127,2020
2052,1037470,595343,1632813,2020
2053,1058569,604420,1662989,2020
2054,1080065,612758,1692823,2020
2055,1101522,620273,1721795,2020
2056,1121188,627549,1748737,2020
2057,1141022,634370,1775392,2020
2058,1159800,641703,1801503,2020
2059,1178221,648050,1826271,2020
2060,1198621,654617,1853238,2020
