"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-187,136,-51,2016
2011,134,503,637,2016
2012,-54,762,708,2016
2013,646,1069,1715,2016
2014,2500,830,3330,2016
2015,3980,1013,4993,2016
2016,15107,8276,23383,2016
2017,34250,20598,54848,2016
2018,55989,36300,92289,2016
2019,82658,54293,136951,2016
2020,110468,75259,185727,2016
2021,139944,96399,236343,2016
2022,170012,119514,289526,2016
2023,202325,144841,347166,2016
2024,236301,168121,404422,2016
2025,268691,190520,459211,2016
2026,299874,214162,514036,2016
2027,330966,236132,567098,2016
2028,359621,256931,616552,2016
2029,388915,275214,664129,2016
2030,416308,292666,708974,2016
2031,444237,310658,754895,2016
2032,474156,326278,800434,2016
2033,505691,340309,846000,2016
2034,537770,354286,892056,2016
2035,567637,368618,936255,2016
2036,596682,382105,978787,2016
2037,627629,397619,1025248,2016
2038,660455,411334,1071789,2016
2039,689684,426879,1116563,2016
2040,720823,441262,1162085,2016
2041,752982,455592,1208574,2016
2042,781436,470073,1251509,2016
2043,810246,483944,1294190,2016
2044,839382,497793,1337175,2016
2045,864450,510893,1375343,2016
2046,889453,522539,1411992,2016
2047,915159,533871,1449030,2016
2048,939935,542486,1482421,2016
2049,961904,550190,1512094,2016
2050,985384,557751,1543135,2016
2051,1010985,565370,1576355,2016
2052,1032924,573944,1606868,2016
2053,1053186,581303,1634489,2016
2054,1074195,587663,1661858,2016
2055,1093781,594471,1688252,2016
2056,1112966,601084,1714050,2016
2057,1134359,606304,1740663,2016
2058,1154703,611973,1766676,2016
2059,1174420,616178,1790598,2016
2060,1195271,620882,1816153,2016
2010,-2536,647,-1889,2017
2011,-4252,1342,-2910,2017
2012,-6150,2168,-3982,2017
2013,-7787,3043,-4744,2017
2014,-8027,2648,-5379,2017
2015,-8562,2025,-6537,2017
2016,-8249,2094,-6155,2017
2017,2571,9172,11743,2017
2018,16712,21736,38448,2017
2019,37405,37292,74697,2017
2020,60375,56070,116445,2017
2021,86548,75090,161638,2017
2022,114105,95721,209826,2017
2023,144660,117772,262432,2017
2024,176510,138536,315046,2017
2025,208220,159095,367315,2017
2026,238588,180492,419080,2017
2027,267597,201448,469045,2017
2028,296017,220409,516426,2017
2029,324249,237123,561372,2017
2030,350797,254559,605356,2017
2031,379315,272444,651759,2017
2032,409136,288095,697231,2017
2033,438918,303107,742025,2017
2034,470005,317740,787745,2017
2035,499451,332046,831497,2017
2036,526467,346193,872660,2017
2037,555305,360676,915981,2017
2038,584577,373650,958227,2017
2039,612005,388234,1000239,2017
2040,642857,401974,1044831,2017
2041,673878,415706,1089584,2017
2042,702715,430119,1132834,2017
2043,729592,443757,1173349,2017
2044,756440,456930,1213370,2017
2045,780569,471248,1251817,2017
2046,802856,483978,1286834,2017
2047,825937,495401,1321338,2017
2048,848695,505731,1354426,2017
2049,870241,514209,1384450,2017
2050,891651,523249,1414900,2017
2051,914895,533153,1448048,2017
2052,935183,543094,1478277,2017
2053,955634,551236,1506870,2017
2054,976030,557280,1533310,2017
2055,995742,564236,1559978,2017
2056,1014641,570699,1585340,2017
2057,1034153,576402,1610555,2017
2058,1050874,582750,1633624,2017
2059,1070265,588251,1658516,2017
2060,1089064,594562,1683626,2017
2010,-192,1180,988,2018
2011,500,2220,2720,2018
2012,493,3409,3902,2018
2013,557,4566,5123,2018
2014,1578,4336,5914,2018
2015,3333,4770,8103,2018
2016,6016,5774,11790,2018
2017,9870,6577,16447,2018
2018,19619,14877,34496,2018
2019,35749,26845,62594,2018
2020,55015,43067,98082,2018
2021,77297,60469,137766,2018
2022,101618,80213,181831,2018
2023,129563,101544,231107,2018
2024,159385,122980,282365,2018
2025,190960,143956,334916,2018
2026,221164,165638,386802,2018
2027,251738,187098,438836,2018
2028,281037,207075,488112,2018
2029,310373,225788,536161,2018
2030,339726,243417,583143,2018
2031,369552,261169,630721,2018
2032,401235,277198,678433,2018
2033,433191,292993,726184,2018
2034,466958,308302,775260,2018
2035,497283,324046,821329,2018
2036,526263,338546,864809,2018
2037,558283,353479,911762,2018
2038,589264,368123,957387,2018
2039,617688,381927,999615,2018
2040,647592,395037,1042629,2018
2041,677401,408322,1085723,2018
2042,705801,421413,1127214,2018
2043,733329,433389,1166718,2018
2044,761171,445007,1206178,2018
2045,787629,457763,1245392,2018
2046,814497,468724,1283221,2018
2047,841484,478876,1320360,2018
2048,869104,487898,1357002,2018
2049,894461,496759,1391220,2018
2050,920965,506019,1426984,2018
2051,946740,515461,1462201,2018
2052,971081,525057,1496138,2018
2053,992714,533228,1525942,2018
2054,1014895,541802,1556697,2018
2055,1036684,549018,1585702,2018
2056,1056218,556385,1612603,2018
2057,1077659,562133,1639792,2018
2058,1097041,568179,1665220,2018
2059,1115751,573505,1689256,2018
2060,1134075,579329,1713404,2018
2010,124,1239,1363,2019
2011,1911,2397,4308,2019
2012,3403,3672,7075,2019
2013,4707,4927,9634,2019
2014,6633,5584,12217,2019
2015,8713,5747,14460,2019
2016,11081,6509,17590,2019
2017,13767,7665,21432,2019
2018,14502,9259,23761,2019
2019,24938,16869,41807,2019
2020,39239,29928,69167,2019
2021,59173,45868,105041,2019
2022,80641,64489,145130,2019
2023,104575,85626,190201,2019
2024,132518,105967,238485,2019
2025,162268,127220,289488,2019
2026,193599,148984,342583,2019
2027,224195,170184,394379,2019
2028,255086,190123,445209,2019
2029,286644,208367,495011,2019
2030,317861,226308,544169,2019
2031,349209,244892,594101,2019
2032,383324,262754,646078,2019
2033,417791,278054,695845,2019
2034,452082,292980,745062,2019
2035,482140,307286,789426,2019
2036,511438,321513,832951,2019
2037,542906,337497,880403,2019
2038,574698,353354,928052,2019
2039,606431,369016,975447,2019
2040,639456,383838,1023294,2019
2041,671078,399290,1070368,2019
2042,700908,415646,1116554,2019
2043,729207,431341,1160548,2019
2044,757332,446075,1203407,2019
2045,782063,460917,1242980,2019
2046,805775,473867,1279642,2019
2047,828317,484716,1313033,2019
2048,850265,494694,1344959,2019
2049,871294,504039,1375333,2019
2050,893868,514694,1408562,2019
2051,916085,524422,1440507,2019
2052,937051,533177,1470228,2019
2053,957144,540812,1497956,2019
2054,978092,546259,1524351,2019
2055,998220,552757,1550977,2019
2056,1018213,558770,1576983,2019
2057,1039800,562919,1602719,2019
2058,1058461,568191,1626652,2019
2059,1076844,572294,1649138,2019
2060,1095041,576683,1671724,2019
2010,-1401,2083,682,2020
2011,-1601,4065,2464,2020
2012,-1390,6076,4686,2020
2013,-1360,8211,6851,2020
2014,-865,9627,8762,2020
2015,1,10277,10278,2020
2016,403,11737,12140,2020
2017,1997,13045,15042,2020
2018,1575,15303,16878,2020
2019,1313,17199,18512,2020
2020,8699,27163,35862,2020
2021,21594,40239,61833,2020
2022,38516,56937,95453,2020
2023,59905,77247,137152,2020
2024,86023,97517,183540,2020
2025,114142,118796,232938,2020
2026,142056,141686,283742,2020
2027,171216,165311,336527,2020
2028,200112,187044,387156,2020
2029,230590,207155,437745,2020
2030,261688,226337,488025,2020
2031,292805,245673,538478,2020
2032,325599,263706,589305,2020
2033,360109,279812,639921,2020
2034,395706,295026,690732,2020
2035,428863,309613,738476,2020
2036,462104,324659,786763,2020
2037,495596,340347,835943,2020
2038,528153,355379,883532,2020
2039,559237,371919,931156,2020
2040,591337,386575,977912,2020
2041,622606,401910,1024516,2020
2042,653452,417625,1071077,2020
2043,682701,433069,1115770,2020
2044,710328,448064,1158392,2020
2045,737982,464230,1202212,2020
2046,763387,479042,1242429,2020
2047,788796,492827,1281623,2020
2048,812120,505132,1317252,2020
2049,834180,515630,1349810,2020
2050,859471,526029,1385500,2020
2051,882199,536597,1418796,2020
2052,904645,546643,1451288,2020
2053,925279,554410,1479689,2020
2054,946590,562450,1509040,2020
2055,969128,570716,1539844,2020
2056,990755,577745,1568500,2020
2057,1011936,583977,1595913,2020
2058,1032440,590954,1623394,2020
2059,1051951,596963,1648914,2020
2060,1070739,603649,1674388,2020
