"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,931,619,1550,2016
2011,2821,1140,3961,2016
2012,4638,1656,6294,2016
2013,7065,1721,8786,2016
2014,10431,776,11207,2016
2015,13878,245,14123,2016
2016,26107,6562,32669,2016
2017,44786,17736,62522,2016
2018,66199,32070,98269,2016
2019,91178,48645,139823,2016
2020,116160,68322,184482,2016
2021,143701,87926,231627,2016
2022,171550,108866,280416,2016
2023,200911,131800,332711,2016
2024,232592,153051,385643,2016
2025,263001,174020,437021,2016
2026,291806,194799,486605,2016
2027,319582,214340,533922,2016
2028,345712,232143,577855,2016
2029,372237,247698,619935,2016
2030,398968,262268,661236,2016
2031,428117,277963,706080,2016
2032,458229,291718,749947,2016
2033,489125,304639,793764,2016
2034,520381,317986,838367,2016
2035,549005,331278,880283,2016
2036,576971,343393,920364,2016
2037,605786,356856,962642,2016
2038,635634,368938,1004572,2016
2039,661767,382468,1044235,2016
2040,690723,394579,1085302,2016
2041,721081,407952,1129033,2016
2042,748747,421891,1170638,2016
2043,776201,434974,1211175,2016
2044,804487,446844,1251331,2016
2045,830584,460099,1290683,2016
2046,854589,471501,1326090,2016
2047,877798,482468,1360266,2016
2048,900851,490608,1391459,2016
2049,921701,498034,1419735,2016
2050,944221,505496,1449717,2016
2051,965229,513917,1479146,2016
2052,985330,521193,1506523,2016
2053,1003512,527493,1531005,2016
2054,1022786,533136,1555922,2016
2055,1041496,539481,1580977,2016
2056,1060415,545641,1606056,2016
2057,1082049,549561,1631610,2016
2058,1100881,554821,1655702,2016
2059,1119174,558299,1677473,2016
2060,1137981,562343,1700324,2016
2010,-77,980,903,2017
2011,163,1703,1866,2017
2012,-659,2642,1983,2017
2013,-678,3766,3088,2017
2014,1157,3940,5097,2017
2015,2877,3951,6828,2017
2016,4593,4995,9588,2017
2017,16278,13199,29477,2017
2018,31427,26246,57673,2017
2019,53242,41581,94823,2017
2020,76565,60140,136705,2017
2021,102096,79674,181770,2017
2022,129443,100829,230272,2017
2023,159021,123226,282247,2017
2024,190231,144322,334553,2017
2025,220009,164753,384762,2017
2026,247592,186085,433677,2017
2027,274592,206666,481258,2017
2028,301793,225860,527653,2017
2029,329936,242177,572113,2017
2030,356659,258297,614956,2017
2031,384812,274875,659687,2017
2032,415048,289180,704228,2017
2033,446613,303257,749870,2017
2034,480429,317107,797536,2017
2035,511868,330761,842629,2017
2036,542568,344299,886867,2017
2037,571152,357731,928883,2017
2038,600381,369507,969888,2017
2039,627283,382877,1010160,2017
2040,655866,395772,1051638,2017
2041,684220,407891,1092111,2017
2042,709882,420098,1129980,2017
2043,735757,430681,1166438,2017
2044,762823,440700,1203523,2017
2045,788004,453071,1241075,2017
2046,811858,462799,1274657,2017
2047,838462,472199,1310661,2017
2048,864032,479470,1343502,2017
2049,885926,484472,1370398,2017
2050,909213,490764,1399977,2017
2051,932092,497495,1429587,2017
2052,950175,506206,1456381,2017
2053,967705,512993,1480698,2017
2054,986123,519216,1505339,2017
2055,1003035,525537,1528572,2017
2056,1017989,532876,1550865,2017
2057,1034558,538960,1573518,2017
2058,1050662,546451,1597113,2017
2059,1067702,553015,1620717,2017
2060,1084228,559075,1643303,2017
2010,1101,1306,2407,2018
2011,3036,2513,5549,2018
2012,4360,3785,8145,2018
2013,5776,4808,10584,2018
2014,7607,4770,12377,2018
2015,9982,5275,15257,2018
2016,12830,6470,19300,2018
2017,15993,7567,23560,2018
2018,25639,15342,40981,2018
2019,40449,26642,67091,2018
2020,57552,41896,99448,2018
2021,78763,58473,137236,2018
2022,102445,77420,179865,2018
2023,128810,97745,226555,2018
2024,157207,118515,275722,2018
2025,187291,138785,326076,2018
2026,217069,159826,376895,2018
2027,246365,180497,426862,2018
2028,275533,199882,475415,2018
2029,305034,218622,523656,2018
2030,333590,236427,570017,2018
2031,362431,254831,617262,2018
2032,392883,271099,663982,2018
2033,422491,286564,709055,2018
2034,453779,302080,755859,2018
2035,482604,318835,801439,2018
2036,509201,334061,843262,2018
2037,539652,350570,890222,2018
2038,568895,365964,934859,2018
2039,596177,381068,977245,2018
2040,623991,394906,1018897,2018
2041,653439,408012,1061451,2018
2042,680941,422227,1103168,2018
2043,706266,436056,1142322,2018
2044,730925,449343,1180268,2018
2045,754485,463970,1218455,2018
2046,778163,476930,1255093,2018
2047,801572,488568,1290140,2018
2048,825802,498383,1324185,2018
2049,850054,507859,1357913,2018
2050,874698,517039,1391737,2018
2051,897395,525859,1423254,2018
2052,920404,535651,1456055,2018
2053,940165,544408,1484573,2018
2054,960813,551993,1512806,2018
2055,980117,559437,1539554,2018
2056,999736,567076,1566812,2018
2057,1021728,574178,1595906,2018
2058,1040580,581312,1621892,2018
2059,1058305,586597,1644902,2018
2060,1076182,592643,1668825,2018
2010,179,1451,1630,2019
2011,1596,2682,4278,2019
2012,3305,4110,7415,2019
2013,4883,5354,10237,2019
2014,7182,5820,13002,2019
2015,10292,6127,16419,2019
2016,12899,6853,19752,2019
2017,16334,7616,23950,2019
2018,18266,9551,27817,2019
2019,29191,17159,46350,2019
2020,43467,29347,72814,2019
2021,62284,44120,106404,2019
2022,82410,61782,144192,2019
2023,105349,81272,186621,2019
2024,131829,100505,232334,2019
2025,159319,120511,279830,2019
2026,188400,141599,329999,2019
2027,216688,161429,378117,2019
2028,245260,179801,425061,2019
2029,274778,196978,471756,2019
2030,303488,213969,517457,2019
2031,333212,231511,564723,2019
2032,363595,247771,611366,2019
2033,394611,262040,656651,2019
2034,427101,276143,703244,2019
2035,457147,289542,746689,2019
2036,486657,302729,789386,2019
2037,517783,317897,835680,2019
2038,550411,332384,882795,2019
2039,580554,347161,927715,2019
2040,611374,360660,972034,2019
2041,641745,375184,1016929,2019
2042,668751,390248,1058999,2019
2043,695337,405247,1100584,2019
2044,722806,420473,1143279,2019
2045,748597,435501,1184098,2019
2046,771399,449481,1220880,2019
2047,796113,461801,1257914,2019
2048,818744,472390,1291134,2019
2049,840947,482543,1323490,2019
2050,864450,493145,1357595,2019
2051,886786,503110,1389896,2019
2052,908530,513379,1421909,2019
2053,928109,521884,1449993,2019
2054,948999,529600,1478599,2019
2055,969916,537578,1507494,2019
2056,989536,544990,1534526,2019
2057,1009923,550817,1560740,2019
2058,1028268,557881,1586149,2019
2059,1045731,563767,1609498,2019
2060,1062737,569410,1632147,2019
2010,-1013,2292,1279,2020
2011,-1154,4457,3303,2020
2012,-969,6773,5804,2020
2013,-779,9239,8460,2020
2014,-422,10894,10472,2020
2015,88,11723,11811,2020
2016,186,13403,13589,2020
2017,1843,14752,16595,2020
2018,1802,16922,18724,2020
2019,1987,18931,20918,2020
2020,7617,28286,35903,2020
2021,19130,40141,59271,2020
2022,34492,55642,90134,2020
2023,54129,74116,128245,2020
2024,78026,93005,171031,2020
2025,104107,112814,216921,2020
2026,130905,134093,264998,2020
2027,156924,155986,312910,2020
2028,183958,176785,360743,2020
2029,212690,195726,408416,2020
2030,241965,214104,456069,2020
2031,271485,232747,504232,2020
2032,302653,249567,552220,2020
2033,334849,264930,599779,2020
2034,367328,279442,646770,2020
2035,395637,293274,688911,2020
2036,424180,306419,730599,2020
2037,454385,320725,775110,2020
2038,484787,334885,819672,2020
2039,513300,350713,864013,2020
2040,543620,365007,908627,2020
2041,573726,379898,953624,2020
2042,601329,394775,996104,2020
2043,628436,409205,1037641,2020
2044,656464,423040,1079504,2020
2045,684909,437147,1122056,2020
2046,711905,450101,1162006,2020
2047,739408,461883,1201291,2020
2048,765370,472688,1238058,2020
2049,790062,481122,1271184,2020
2050,816904,488868,1305772,2020
2051,840318,496579,1336897,2020
2052,863581,504689,1368270,2020
2053,885139,511433,1396572,2020
2054,907908,517570,1425478,2020
2055,929848,523926,1453774,2020
2056,949063,529505,1478568,2020
2057,968232,533942,1502174,2020
2058,985493,538470,1523963,2020
2059,1002057,542111,1544168,2020
2060,1018782,546847,1565629,2020
