"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-168,205,37,2016
2011,653,390,1043,2016
2012,1274,499,1773,2016
2013,2116,838,2954,2016
2014,3419,473,3892,2016
2015,5125,152,5277,2016
2016,12858,5094,17952,2016
2017,25267,13217,38484,2016
2018,39519,24454,63973,2016
2019,57108,37534,94642,2016
2020,74031,52475,126506,2016
2021,93453,67340,160793,2016
2022,113943,83749,197692,2016
2023,136933,101318,238251,2016
2024,161273,118348,279621,2016
2025,183474,133960,317434,2016
2026,205854,150651,356505,2016
2027,227957,166457,394414,2016
2028,249176,180119,429295,2016
2029,272120,192428,464548,2016
2030,294305,204634,498939,2016
2031,318200,217046,535246,2016
2032,343579,228338,571917,2016
2033,368272,238748,607020,2016
2034,392897,248790,641687,2016
2035,416526,259222,675748,2016
2036,438632,269082,707714,2016
2037,462010,279418,741428,2016
2038,484629,289574,774203,2016
2039,505257,300038,805295,2016
2040,527229,309502,836731,2016
2041,549370,319179,868549,2016
2042,569903,329695,899598,2016
2043,589413,339665,929078,2016
2044,609806,348879,958685,2016
2045,629033,359322,988355,2016
2046,646494,368077,1014571,2016
2047,664875,377060,1041935,2016
2048,682622,383931,1066553,2016
2049,699980,389693,1089673,2016
2050,717897,396496,1114393,2016
2051,736390,404469,1140859,2016
2052,751255,412268,1163523,2016
2053,763704,417563,1181267,2016
2054,779242,422195,1201437,2016
2055,794697,427373,1222070,2016
2056,809295,431374,1240669,2016
2057,825479,434563,1260042,2016
2058,838888,437235,1276123,2016
2059,851838,438447,1290285,2016
2060,865588,441775,1307363,2016
2010,-1104,1095,-9,2017
2011,-1151,1927,776,2017
2012,-1587,3224,1637,2017
2013,-698,4724,4026,2017
2014,-437,5598,5161,2017
2015,-222,6222,6000,2017
2016,589,7678,8267,2017
2017,8160,13622,21782,2017
2018,18575,24024,42599,2017
2019,32259,35884,68143,2017
2020,46630,50342,96972,2017
2021,64275,64832,129107,2017
2022,82867,80523,163390,2017
2023,103458,97247,200705,2017
2024,125378,113676,239054,2017
2025,147497,129607,277104,2017
2026,169803,147424,317227,2017
2027,190176,165182,355358,2017
2028,211056,180961,392017,2017
2029,232834,195949,428783,2017
2030,254317,210572,464889,2017
2031,275950,226010,501960,2017
2032,298936,239512,538448,2017
2033,320573,252406,572979,2017
2034,342852,263848,606700,2017
2035,362583,275210,637793,2017
2036,382398,285836,668234,2017
2037,402952,296873,699825,2017
2038,424514,307416,731930,2017
2039,445906,319027,764933,2017
2040,467401,329571,796972,2017
2041,488693,341191,829884,2017
2042,509485,353294,862779,2017
2043,530426,364427,894853,2017
2044,550793,374992,925785,2017
2045,571284,385104,956388,2017
2046,589788,392883,982671,2017
2047,608141,400009,1008150,2017
2048,626469,406369,1032838,2017
2049,643766,411959,1055725,2017
2050,662147,417852,1079999,2017
2051,681330,425023,1106353,2017
2052,698561,431874,1130435,2017
2053,713588,437935,1151523,2017
2054,729083,443245,1172328,2017
2055,744574,448596,1193170,2017
2056,759357,454124,1213481,2017
2057,774108,458517,1232625,2017
2058,787444,463397,1250841,2017
2059,801711,465937,1267648,2017
2060,815765,468838,1284603,2017
2010,1280,941,2221,2018
2011,2546,1658,4204,2018
2012,3310,2480,5790,2018
2013,5157,2938,8095,2018
2014,6663,2583,9246,2018
2015,7901,2855,10756,2018
2016,8799,3807,12606,2018
2017,10233,5438,15671,2018
2018,16165,12025,28190,2018
2019,26387,21391,47778,2018
2020,37593,33904,71497,2018
2021,51938,47374,99312,2018
2022,68534,62589,131123,2018
2023,86598,78794,165392,2018
2024,106976,94203,201179,2018
2025,127647,109107,236754,2018
2026,148409,124433,272842,2018
2027,167330,139198,306528,2018
2028,185713,151835,337548,2018
2029,205680,163141,368821,2018
2030,224347,173796,398143,2018
2031,244604,185338,429942,2018
2032,265867,196391,462258,2018
2033,288443,207133,495576,2018
2034,311416,217463,528879,2018
2035,332246,228376,560622,2018
2036,352711,238103,590814,2018
2037,373499,249522,623021,2018
2038,392948,259733,652681,2018
2039,410013,270878,680891,2018
2040,428571,280802,709373,2018
2041,447820,291528,739348,2018
2042,464841,302035,766876,2018
2043,480440,311947,792387,2018
2044,497474,320453,817927,2018
2045,514230,330349,844579,2018
2046,530652,338720,869372,2018
2047,546968,346614,893582,2018
2048,561975,354269,916244,2018
2049,576697,361677,938374,2018
2050,592479,369939,962418,2018
2051,608362,379433,987795,2018
2052,620875,388524,1009399,2018
2053,630885,395502,1026387,2018
2054,643131,401683,1044814,2018
2055,654971,408165,1063136,2018
2056,665105,413821,1078926,2018
2057,677303,418125,1095428,2018
2058,688162,422846,1111008,2018
2059,699086,426342,1125428,2018
2060,712657,430219,1142876,2018
2010,-688,937,249,2019
2011,-859,1832,973,2019
2012,-1833,2868,1035,2019
2013,-2427,3121,694,2019
2014,-3613,2931,-682,2019
2015,-3579,2517,-1062,2019
2016,-3965,2354,-1611,2019
2017,-3502,2168,-1334,2019
2018,-4972,3619,-1353,2019
2019,210,9161,9371,2019
2020,7656,18762,26418,2019
2021,19817,29998,49815,2019
2022,34852,43473,78325,2019
2023,51747,58559,110306,2019
2024,71557,73863,145420,2019
2025,91684,89504,181188,2019
2026,111849,106102,217951,2019
2027,130943,122287,253230,2019
2028,150649,136913,287562,2019
2029,170644,150824,321468,2019
2030,190390,164486,354876,2019
2031,212413,178150,390563,2019
2032,233933,190232,424165,2019
2033,255544,201456,457000,2019
2034,277907,212634,490541,2019
2035,298984,223718,522702,2019
2036,321044,233349,554393,2019
2037,346268,243445,589713,2019
2038,371201,252424,623625,2019
2039,392834,262623,655457,2019
2040,416611,271716,688327,2019
2041,441810,281922,723732,2019
2042,464922,293062,757984,2019
2043,488970,303865,792835,2019
2044,513657,312722,826379,2019
2045,535474,322929,858403,2019
2046,556440,330611,887051,2019
2047,577801,337258,915059,2019
2048,597443,342836,940279,2019
2049,615651,349284,964935,2019
2050,634913,355823,990736,2019
2051,650680,362195,1012875,2019
2052,666125,369115,1035240,2019
2053,679575,374390,1053965,2019
2054,695918,379227,1075145,2019
2055,711193,383113,1094306,2019
2056,725394,386914,1112308,2019
2057,740536,389740,1130276,2019
2058,754440,393264,1147704,2019
2059,767603,396606,1164209,2019
2060,782331,399426,1181757,2019
2010,-91,929,838,2020
2011,-288,1998,1710,2020
2012,-653,3879,3226,2020
2013,307,5685,5992,2020
2014,-28,6977,6949,2020
2015,-339,8225,7886,2020
2016,-678,9692,9014,2020
2017,-460,10672,10212,2020
2018,-1252,12632,11380,2020
2019,-1404,14435,13031,2020
2020,1648,21291,22939,2020
2021,10131,30099,40230,2020
2022,22060,41057,63117,2020
2023,35521,53935,89456,2020
2024,52217,67468,119685,2020
2025,70494,81559,152053,2020
2026,88869,96501,185370,2020
2027,107280,111257,218537,2020
2028,126381,126004,252385,2020
2029,148096,139234,287330,2020
2030,169466,151973,321439,2020
2031,192321,165558,357879,2020
2032,215699,178286,393985,2020
2033,240119,190369,430488,2020
2034,263690,201557,465247,2020
2035,285078,213126,498204,2020
2036,305182,223544,528726,2020
2037,328136,235346,563482,2020
2038,349833,246533,596366,2020
2039,371311,258214,629525,2020
2040,393994,267011,661005,2020
2041,418238,277103,695341,2020
2042,441780,287397,729177,2020
2043,464552,296963,761515,2020
2044,488371,305310,793681,2020
2045,512477,314740,827217,2020
2046,534771,323783,858554,2020
2047,556225,331531,887756,2020
2048,576149,337834,913983,2020
2049,595078,343373,938451,2020
2050,615985,349993,965978,2020
2051,634515,357038,991553,2020
2052,650439,364206,1014645,2020
2053,665209,369732,1034941,2020
2054,680051,374431,1054482,2020
2055,696870,379101,1075971,2020
2056,710753,384092,1094845,2020
2057,726235,388208,1114443,2020
2058,741155,391762,1132917,2020
2059,756893,394518,1151411,2020
2060,772596,398189,1170785,2020
