"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-317,955,638,2016
2011,-550,2180,1630,2016
2012,-1692,3798,2106,2016
2013,-2820,5083,2263,2016
2014,-3319,5831,2512,2016
2015,-2932,6014,3082,2016
2016,201,9224,9425,2016
2017,5155,13333,18488,2016
2018,11157,19384,30541,2016
2019,18643,26080,44723,2016
2020,25230,33264,58494,2016
2021,31900,40394,72294,2016
2022,40289,48719,89008,2016
2023,49084,56913,105997,2016
2024,57539,65307,122846,2016
2025,67942,73746,141688,2016
2026,78874,82729,161603,2016
2027,88768,91085,179853,2016
2028,98438,98181,196619,2016
2029,109609,104322,213931,2016
2030,119904,110978,230882,2016
2031,130941,117082,248023,2016
2032,142921,122372,265293,2016
2033,155295,126694,281989,2016
2034,169744,130467,300211,2016
2035,182870,133738,316608,2016
2036,196554,136774,333328,2016
2037,211486,140591,352077,2016
2038,226259,144970,371229,2016
2039,238589,151103,389692,2016
2040,251395,155028,406423,2016
2041,266295,159835,426130,2016
2042,279184,164798,443982,2016
2043,291251,169809,461060,2016
2044,304214,174109,478323,2016
2045,315635,178622,494257,2016
2046,326657,182878,509535,2016
2047,335088,185238,520326,2016
2048,341894,186846,528740,2016
2049,348871,187439,536310,2016
2050,357297,187818,545115,2016
2051,365076,189154,554230,2016
2052,371422,189923,561345,2016
2053,377202,189374,566576,2016
2054,386746,188046,574792,2016
2055,397066,188869,585935,2016
2056,405144,189752,594896,2016
2057,414976,189062,604038,2016
2058,422029,189660,611689,2016
2059,428602,188313,616915,2016
2060,436496,188086,624582,2016
2010,-1467,414,-1053,2017
2011,-2289,967,-1322,2017
2012,-3498,1799,-1699,2017
2013,-4509,2275,-2234,2017
2014,-5476,2266,-3210,2017
2015,-5927,1923,-4004,2017
2016,-6300,2596,-3704,2017
2017,-4630,4763,133,2017
2018,-1377,9118,7741,2017
2019,3233,14382,17615,2017
2020,6897,21231,28128,2017
2021,10655,28461,39116,2017
2022,16549,36810,53359,2017
2023,23134,45419,68553,2017
2024,30866,52655,83521,2017
2025,40408,59342,99750,2017
2026,50103,66443,116546,2017
2027,59663,72884,132547,2017
2028,70083,78187,148270,2017
2029,82544,82812,165356,2017
2030,94714,87010,181724,2017
2031,106060,90762,196822,2017
2032,117972,94042,212014,2017
2033,129662,96505,226167,2017
2034,142086,98826,240912,2017
2035,153760,101491,255251,2017
2036,166138,104163,270301,2017
2037,179370,107544,286914,2017
2038,193814,110806,304620,2017
2039,207073,114984,322057,2017
2040,219883,116805,336688,2017
2041,234081,119530,353611,2017
2042,245357,123773,369130,2017
2043,256120,127464,383584,2017
2044,266409,130365,396774,2017
2045,275215,134079,409294,2017
2046,284313,136128,420441,2017
2047,293711,137129,430840,2017
2048,302702,137560,440262,2017
2049,309931,138468,448399,2017
2050,319556,138588,458144,2017
2051,330116,139734,469850,2017
2052,338330,141712,480042,2017
2053,343279,142655,485934,2017
2054,350327,143765,494092,2017
2055,357197,146413,503610,2017
2056,364576,147348,511924,2017
2057,371967,147574,519541,2017
2058,377397,147640,525037,2017
2059,381280,146053,527333,2017
2060,386664,145673,532337,2017
2010,-482,1057,575,2018
2011,-878,2173,1295,2018
2012,-1077,3243,2166,2018
2013,-1632,4063,2431,2018
2014,-1877,4232,2355,2018
2015,-1817,4682,2865,2018
2016,-1847,5837,3990,2018
2017,-1101,6874,5773,2018
2018,1416,10535,11951,2018
2019,5886,15135,21021,2018
2020,9465,21433,30898,2018
2021,13395,28139,41534,2018
2022,18871,35941,54812,2018
2023,24848,43858,68706,2018
2024,31644,50399,82043,2018
2025,40203,56992,97195,2018
2026,49688,63605,113293,2018
2027,59385,69768,129153,2018
2028,68729,75387,144116,2018
2029,80242,79786,160028,2018
2030,91271,83767,175038,2018
2031,104089,87983,192072,2018
2032,116935,91013,207948,2018
2033,130211,94098,224309,2018
2034,143430,97445,240875,2018
2035,156500,101336,257836,2018
2036,169384,105330,274714,2018
2037,181440,109309,290749,2018
2038,194310,113031,307341,2018
2039,205495,117019,322514,2018
2040,215764,119605,335369,2018
2041,227135,123753,350888,2018
2042,236530,128517,365047,2018
2043,247209,132998,380207,2018
2044,257800,136609,394409,2018
2045,267742,141011,408753,2018
2046,277528,144130,421658,2018
2047,287144,146185,433329,2018
2048,295817,147589,443406,2018
2049,304614,148794,453408,2018
2050,313344,150434,463778,2018
2051,322103,153027,475130,2018
2052,328862,155390,484252,2018
2053,334421,156898,491319,2018
2054,342439,158456,500895,2018
2055,351419,161266,512685,2018
2056,359483,162028,521511,2018
2057,368624,161630,530254,2018
2058,376729,162569,539298,2018
2059,382305,161353,543658,2018
2060,388300,160688,548988,2018
2010,-473,1167,694,2019
2011,-1304,2605,1301,2019
2012,-1879,4439,2560,2019
2013,-2437,5898,3461,2019
2014,-3283,6688,3405,2019
2015,-3423,7280,3857,2019
2016,-3710,8215,4505,2019
2017,-3596,8785,5189,2019
2018,-3500,10094,6594,2019
2019,-790,12677,11887,2019
2020,846,17078,17924,2019
2021,3514,21876,25390,2019
2022,7579,27874,35453,2019
2023,12494,33955,46449,2019
2024,19275,39066,58341,2019
2025,27734,45368,73102,2019
2026,36538,52098,88636,2019
2027,45143,58584,103727,2019
2028,53610,64105,117715,2019
2029,65312,68590,133902,2019
2030,75873,73056,148929,2019
2031,87760,78276,166036,2019
2032,99264,82353,181617,2019
2033,112604,85304,197908,2019
2034,126894,88286,215180,2019
2035,140046,91158,231204,2019
2036,152293,94211,246504,2019
2037,165215,97425,262640,2019
2038,177634,101049,278683,2019
2039,189951,105666,295617,2019
2040,202484,108724,311208,2019
2041,215059,112956,328015,2019
2042,225991,119397,345388,2019
2043,237947,126018,363965,2019
2044,250562,131777,382339,2019
2045,261772,137422,399194,2019
2046,274547,142834,417381,2019
2047,288157,146730,434887,2019
2048,298167,148736,446903,2019
2049,307269,151143,458412,2019
2050,318035,153357,471392,2019
2051,328119,156393,484512,2019
2052,337806,158829,496635,2019
2053,343027,160185,503212,2019
2054,351203,161153,512356,2019
2055,357658,163104,520762,2019
2056,362902,162912,525814,2019
2057,367859,163141,531000,2019
2058,370612,164109,534721,2019
2059,372610,164323,536933,2019
2060,373310,164880,538190,2019
2010,-168,1200,1032,2020
2011,-725,2481,1756,2020
2012,-349,4181,3832,2020
2013,303,5540,5843,2020
2014,813,6659,7472,2020
2015,2037,7640,9677,2020
2016,3338,8993,12331,2020
2017,5091,9865,14956,2020
2018,6456,11151,17607,2020
2019,8745,12226,20971,2020
2020,10724,15082,25806,2020
2021,14235,18668,32903,2020
2022,19143,24178,43321,2020
2023,25786,29654,55440,2020
2024,34412,35538,69950,2020
2025,43753,42301,86054,2020
2026,53544,49842,103386,2020
2027,63553,57114,120667,2020
2028,73592,63947,137539,2020
2029,84523,70199,154722,2020
2030,95016,75629,170645,2020
2031,107528,82066,189594,2020
2032,119803,88277,208080,2020
2033,132081,93470,225551,2020
2034,146498,98051,244549,2020
2035,160551,102937,263488,2020
2036,174164,107658,281822,2020
2037,187465,112211,299676,2020
2038,200712,116271,316983,2020
2039,214288,121080,335368,2020
2040,227235,124723,351958,2020
2041,241367,127860,369227,2020
2042,252144,132606,384750,2020
2043,262327,137238,399565,2020
2044,272275,142464,414739,2020
2045,281570,148413,429983,2020
2046,290167,153668,443835,2020
2047,298524,157997,456521,2020
2048,305646,162319,467965,2020
2049,312873,165487,478360,2020
2050,323690,168720,492410,2020
2051,333612,172436,506048,2020
2052,343944,174751,518695,2020
2053,353698,175939,529637,2020
2054,365183,176445,541628,2020
2055,375626,178678,554304,2020
2056,386482,179825,566307,2020
2057,396968,179169,576137,2020
2058,406693,180369,587062,2020
2059,416239,180486,596725,2020
2060,424251,180967,605218,2020
