"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1330,246,-1084,2016
2011,-2235,838,-1397,2016
2012,-3744,1595,-2149,2016
2013,-5425,2140,-3285,2016
2014,-6351,2230,-4121,2016
2015,-6829,2172,-4657,2016
2016,-4719,3968,-751,2016
2017,-1307,6927,5620,2016
2018,1932,11123,13055,2016
2019,7023,16106,23129,2016
2020,11328,21765,33093,2016
2021,15038,27208,42246,2016
2022,20540,33950,54490,2016
2023,26688,40595,67283,2016
2024,32723,47939,80662,2016
2025,41280,55080,96360,2016
2026,49753,63152,112905,2016
2027,56946,71083,128029,2016
2028,64776,77392,142168,2016
2029,72711,83283,155994,2016
2030,79878,88962,168840,2016
2031,87850,94621,182471,2016
2032,97115,99464,196579,2016
2033,106947,103964,210911,2016
2034,118591,107977,226568,2016
2035,128352,111980,240332,2016
2036,138237,115293,253530,2016
2037,149734,119145,268879,2016
2038,160165,122907,283072,2016
2039,169345,127324,296669,2016
2040,180453,130462,310915,2016
2041,191170,134860,326030,2016
2042,199911,140042,339953,2016
2043,209356,145554,354910,2016
2044,219167,150528,369695,2016
2045,228184,155635,383819,2016
2046,235171,159503,394674,2016
2047,241186,161384,402570,2016
2048,247007,162317,409324,2016
2049,252232,163407,415639,2016
2050,259761,164091,423852,2016
2051,265753,166877,432630,2016
2052,272760,169055,441815,2016
2053,278295,170025,448320,2016
2054,286644,170160,456804,2016
2055,294258,171178,465436,2016
2056,301061,172059,473120,2016
2057,309971,171065,481036,2016
2058,317694,170755,488449,2016
2059,324448,168844,493292,2016
2060,331344,168343,499687,2016
2010,-1039,514,-525,2017
2011,-1385,1305,-80,2017
2012,-2348,2188,-160,2017
2013,-2989,2789,-200,2017
2014,-3374,2842,-532,2017
2015,-3508,2540,-968,2017
2016,-3753,3218,-535,2017
2017,-2049,5227,3178,2017
2018,702,8770,9472,2017
2019,4560,13427,17987,2017
2020,7213,19306,26519,2017
2021,9674,25685,35359,2017
2022,14122,33055,47177,2017
2023,19187,40708,59895,2017
2024,25288,47316,72604,2017
2025,33618,53539,87157,2017
2026,41916,60334,102250,2017
2027,49846,66572,116418,2017
2028,57060,72726,129786,2017
2029,66673,78395,145068,2017
2030,75532,83923,159455,2017
2031,84847,89087,173934,2017
2032,94554,93193,187747,2017
2033,104216,96155,200371,2017
2034,114558,98451,213009,2017
2035,124642,101584,226226,2017
2036,134941,104586,239527,2017
2037,145522,108079,253601,2017
2038,157806,110687,268493,2017
2039,168837,114798,283635,2017
2040,180277,116839,297116,2017
2041,193837,120007,313844,2017
2042,206294,125636,331930,2017
2043,217855,130663,348518,2017
2044,229802,134633,364435,2017
2045,239107,139417,378524,2017
2046,246918,142347,389265,2017
2047,253574,144089,397663,2017
2048,259914,144515,404429,2017
2049,266490,145197,411687,2017
2050,274669,146497,421166,2017
2051,284566,149288,433854,2017
2052,291542,152636,444178,2017
2053,294591,154471,449062,2017
2054,299677,155858,455535,2017
2055,304014,158679,462693,2017
2056,306734,160019,466753,2017
2057,312489,160123,472612,2017
2058,317179,160101,477280,2017
2059,321529,158901,480430,2017
2060,326099,159175,485274,2017
2010,-557,788,231,2018
2011,-1019,1733,714,2018
2012,-1246,2625,1379,2018
2013,-1525,3253,1728,2018
2014,-1622,3143,1521,2018
2015,-1388,3307,1919,2018
2016,-1579,3767,2188,2018
2017,-1287,4188,2901,2018
2018,143,6726,6869,2018
2019,3296,10333,13629,2018
2020,5820,15627,21447,2018
2021,8470,21343,29813,2018
2022,12066,28236,40302,2018
2023,16661,34940,51601,2018
2024,22677,41038,63715,2018
2025,29549,47042,76591,2018
2026,37265,53342,90607,2018
2027,44854,59123,103977,2018
2028,52265,64111,116376,2018
2029,61522,67884,129406,2018
2030,71032,71282,142314,2018
2031,81647,74870,156517,2018
2032,91929,78009,169938,2018
2033,103613,80648,184261,2018
2034,115596,82982,198578,2018
2035,127699,86104,213803,2018
2036,138661,89067,227728,2018
2037,150587,92524,243111,2018
2038,162716,95443,258159,2018
2039,173585,99373,272958,2018
2040,183142,101175,284317,2018
2041,194230,103934,298164,2018
2042,204014,107649,311663,2018
2043,213691,111481,325172,2018
2044,225224,115223,340447,2018
2045,235183,119703,354886,2018
2046,243122,122766,365888,2018
2047,250497,124785,375282,2018
2048,257318,125635,382953,2018
2049,263843,125854,389697,2018
2050,271649,126301,397950,2018
2051,281002,127602,408604,2018
2052,289136,128543,417679,2018
2053,295574,129049,424623,2018
2054,304129,129415,433544,2018
2055,312260,131587,443847,2018
2056,318970,132015,450985,2018
2057,326810,131817,458627,2018
2058,332880,132557,465437,2018
2059,338883,132060,470943,2018
2060,344865,131817,476682,2018
2010,-177,763,586,2019
2011,-234,1816,1582,2019
2012,334,3182,3516,2019
2013,728,4185,4913,2019
2014,984,4416,5400,2019
2015,2012,4513,6525,2019
2016,2798,5086,7884,2019
2017,4237,5634,9871,2019
2018,5633,6504,12137,2019
2019,9510,8498,18008,2019
2020,11774,11823,23597,2019
2021,14613,15635,30248,2019
2022,19228,20429,39657,2019
2023,24021,25500,49521,2019
2024,30781,29692,60473,2019
2025,38184,34535,72719,2019
2026,45936,39947,85883,2019
2027,53758,45317,99075,2019
2028,61281,49787,111068,2019
2029,71768,53665,125433,2019
2030,81823,57391,139214,2019
2031,92961,61705,154666,2019
2032,103410,65519,168929,2019
2033,115607,68386,183993,2019
2034,129422,71422,200844,2019
2035,142318,74863,217181,2019
2036,154328,78025,232353,2019
2037,165795,80704,246499,2019
2038,176419,82998,259417,2019
2039,186677,86553,273230,2019
2040,196792,89411,286203,2019
2041,208147,92751,300898,2019
2042,216814,98734,315548,2019
2043,227047,105454,332501,2019
2044,238219,112013,350232,2019
2045,248198,118007,366205,2019
2046,258290,122962,381252,2019
2047,268968,126653,395621,2019
2048,276100,127823,403923,2019
2049,281595,129729,411324,2019
2050,287163,131373,418536,2019
2051,293086,133830,426916,2019
2052,296782,135178,431960,2019
2053,300326,136204,436530,2019
2054,304993,136133,441126,2019
2055,310108,136941,447049,2019
2056,313771,136554,450325,2019
2057,318516,136248,454764,2019
2058,321522,136800,458322,2019
2059,323833,135991,459824,2019
2060,326565,136150,462715,2019
2010,368,1084,1452,2020
2011,540,2349,2889,2020
2012,1488,3885,5373,2020
2013,2595,5002,7597,2020
2014,3682,5878,9560,2020
2015,5418,6485,11903,2020
2016,6978,7614,14592,2020
2017,8895,8186,17081,2020
2018,10799,9060,19859,2020
2019,13338,9708,23046,2020
2020,14955,11899,26854,2020
2021,17957,14812,32769,2020
2022,22440,19058,41498,2020
2023,28243,23336,51579,2020
2024,36060,27790,63850,2020
2025,44052,33434,77486,2020
2026,52602,39949,92551,2020
2027,60932,46422,107354,2020
2028,69708,51950,121658,2020
2029,80191,56984,137175,2020
2030,90356,62045,152401,2020
2031,102046,67860,169906,2020
2032,113892,73310,187202,2020
2033,126073,77496,203569,2020
2034,140003,81320,221323,2020
2035,153905,84676,238581,2020
2036,166229,87843,254072,2020
2037,180039,91520,271559,2020
2038,193146,95620,288766,2020
2039,206286,100761,307047,2020
2040,217792,104808,322600,2020
2041,229991,109376,339367,2020
2042,239959,115894,355853,2020
2043,249408,122002,371410,2020
2044,260038,127928,387966,2020
2045,269530,134029,403559,2020
2046,277935,139401,417336,2020
2047,285840,143342,429182,2020
2048,290992,145894,436886,2020
2049,296506,147999,444505,2020
2050,304202,150608,454810,2020
2051,312178,154007,466185,2020
2052,321506,156658,478164,2020
2053,328034,158428,486462,2020
2054,336353,158945,495298,2020
2055,343526,160547,504073,2020
2056,349730,160679,510409,2020
2057,356394,159620,516014,2020
2058,362242,160507,522749,2020
2059,368275,160125,528400,2020
2060,373032,161043,534075,2020
