"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-807,541,-266,2016
2011,-1583,1016,-567,2016
2012,-1978,1522,-456,2016
2013,-2727,2026,-701,2016
2014,-2491,2185,-306,2016
2015,-1930,2487,557,2016
2016,-1288,2993,1705,2016
2017,-288,3738,3450,2016
2018,1143,4351,5494,2016
2019,3189,5544,8733,2016
2020,5042,7075,12117,2016
2021,6234,8106,14340,2016
2022,8148,9677,17825,2016
2023,10529,11914,22443,2016
2024,13511,13810,27321,2016
2025,17035,15937,32972,2016
2026,19875,18840,38715,2016
2027,22344,21832,44176,2016
2028,25314,24753,50067,2016
2029,29099,26597,55696,2016
2030,33003,27773,60776,2016
2031,37683,30994,68677,2016
2032,42344,33944,76288,2016
2033,47099,36069,83168,2016
2034,52422,37764,90186,2016
2035,57649,39621,97270,2016
2036,61440,41464,102904,2016
2037,66126,43626,109752,2016
2038,71158,45558,116716,2016
2039,75693,48261,123954,2016
2040,81445,49679,131124,2016
2041,88575,51419,139994,2016
2042,92847,53724,146571,2016
2043,97097,55657,152754,2016
2044,101215,56682,157897,2016
2045,105037,58083,163120,2016
2046,107581,58337,165918,2016
2047,110721,57805,168526,2016
2048,115508,55091,170599,2016
2049,121807,53562,175369,2016
2050,129416,51558,180974,2016
2051,135142,50516,185658,2016
2052,141412,49337,190749,2016
2053,145733,47565,193298,2016
2054,149259,45812,195071,2016
2055,153038,44509,197547,2016
2056,156115,43975,200090,2016
2057,158356,41578,199934,2016
2058,159746,40512,200258,2016
2059,159745,39454,199199,2016
2060,160673,38203,198876,2016
2010,-1441,-392,-1833,2017
2011,-2099,-749,-2848,2017
2012,-2889,-954,-3843,2017
2013,-3811,-826,-4637,2017
2014,-4692,-828,-5520,2017
2015,-5003,-921,-5924,2017
2016,-4715,-1113,-5828,2017
2017,-4149,-1051,-5200,2017
2018,-3329,-905,-4234,2017
2019,-2523,-143,-2666,2017
2020,-1177,1247,70,2017
2021,-302,2292,1990,2017
2022,785,3601,4386,2017
2023,2662,5640,8302,2017
2024,4989,7390,12379,2017
2025,8247,9236,17483,2017
2026,10723,11628,22351,2017
2027,13283,14113,27396,2017
2028,15709,16666,32375,2017
2029,18594,18503,37097,2017
2030,21582,19427,41009,2017
2031,24228,22110,46338,2017
2032,27283,24417,51700,2017
2033,30799,26521,57320,2017
2034,34761,28284,63045,2017
2035,38485,29288,67773,2017
2036,41511,30204,71715,2017
2037,46110,31580,77690,2017
2038,51988,32221,84209,2017
2039,56556,33441,89997,2017
2040,61547,33402,94949,2017
2041,67643,34262,101905,2017
2042,72704,36030,108734,2017
2043,77276,36335,113611,2017
2044,81052,36369,117421,2017
2045,84401,36722,121123,2017
2046,88464,37101,125565,2017
2047,92337,36331,128668,2017
2048,96505,34329,130834,2017
2049,102139,32679,134818,2017
2050,108177,31207,139384,2017
2051,113147,30021,143168,2017
2052,118097,28489,146586,2017
2053,121267,26663,147930,2017
2054,123559,25138,148697,2017
2055,126880,23623,150503,2017
2056,130675,22251,152926,2017
2057,134888,19033,153921,2017
2058,138027,17795,155822,2017
2059,140264,16599,156863,2017
2060,144184,14692,158876,2017
2010,66,-319,-253,2018
2011,48,-650,-602,2018
2012,-56,-1006,-1062,2018
2013,-402,-1411,-1813,2018
2014,-804,-2053,-2857,2018
2015,-744,-2371,-3115,2018
2016,-175,-2818,-2993,2018
2017,129,-3147,-3018,2018
2018,824,-3444,-2620,2018
2019,1806,-3211,-1405,2018
2020,2170,-2383,-213,2018
2021,2375,-1735,640,2018
2022,2899,-593,2306,2018
2023,4363,1218,5581,2018
2024,5928,2641,8569,2018
2025,7659,4266,11925,2018
2026,9313,6416,15729,2018
2027,11077,8627,19704,2018
2028,13062,10825,23887,2018
2029,15545,12733,28278,2018
2030,18399,14033,32432,2018
2031,20802,16578,37380,2018
2032,24020,18708,42728,2018
2033,27256,20723,47979,2018
2034,31722,22568,54290,2018
2035,36025,23850,59875,2018
2036,38912,24832,63744,2018
2037,42334,24548,66882,2018
2038,46733,23627,70360,2018
2039,50479,23547,74026,2018
2040,54941,22938,77879,2018
2041,60839,23028,83867,2018
2042,66334,24025,90359,2018
2043,71625,24933,96558,2018
2044,77144,25062,102206,2018
2045,81658,26108,107766,2018
2046,86520,27047,113567,2018
2047,91404,27428,118832,2018
2048,96020,26559,122579,2018
2049,102597,26147,128744,2018
2050,107339,26441,133780,2018
2051,111727,26570,138297,2018
2052,115492,26657,142149,2018
2053,115488,26142,141630,2018
2054,116063,25234,141297,2018
2055,118430,24477,142907,2018
2056,121376,24484,145860,2018
2057,123428,24094,147522,2018
2058,123958,25122,149080,2018
2059,123616,24697,148313,2018
2060,125969,24352,150321,2018
2010,176,-169,7,2019
2011,234,-202,32,2019
2012,490,-231,259,2019
2013,567,-104,463,2019
2014,676,-312,364,2019
2015,1149,-418,731,2019
2016,2023,-626,1397,2019
2017,2292,-881,1411,2019
2018,2208,-1792,416,2019
2019,2732,-2034,698,2019
2020,2897,-1659,1238,2019
2021,2546,-1458,1088,2019
2022,2606,-629,1977,2019
2023,4159,191,4350,2019
2024,5901,1022,6923,2019
2025,7837,2037,9874,2019
2026,10058,3222,13280,2019
2027,12616,4299,16915,2019
2028,14864,5004,19868,2019
2029,17932,6112,24044,2019
2030,21308,7140,28448,2019
2031,24659,8603,33262,2019
2032,28292,10159,38451,2019
2033,31812,11686,43498,2019
2034,36125,13666,49791,2019
2035,41623,15825,57448,2019
2036,44555,17619,62174,2019
2037,47321,18324,65645,2019
2038,51021,19043,70064,2019
2039,54384,19711,74095,2019
2040,57239,19216,76455,2019
2041,62423,19315,81738,2019
2042,66573,19714,86287,2019
2043,69213,21041,90254,2019
2044,73187,21556,94743,2019
2045,78151,23850,102001,2019
2046,82269,26293,108562,2019
2047,85686,28520,114206,2019
2048,90233,29752,119985,2019
2049,97518,31454,128972,2019
2050,103823,33050,136873,2019
2051,107862,34767,142629,2019
2052,111873,36371,148244,2019
2053,113099,37442,150541,2019
2054,113696,38056,151752,2019
2055,114801,38595,153396,2019
2056,117001,38680,155681,2019
2057,117714,38036,155750,2019
2058,118047,38980,157027,2019
2059,118049,38512,156561,2019
2060,119515,38093,157608,2019
2010,552,-57,495,2020
2011,1067,39,1106,2020
2012,1831,201,2032,2020
2013,2399,426,2825,2020
2014,2967,293,3260,2020
2015,4032,258,4290,2020
2016,5356,123,5479,2020
2017,6218,-1,6217,2020
2018,6928,-153,6775,2020
2019,7439,-190,7249,2020
2020,7309,203,7512,2020
2021,7304,729,8033,2020
2022,8270,1937,10207,2020
2023,10447,3057,13504,2020
2024,13267,4218,17485,2020
2025,15891,5652,21543,2020
2026,18173,7435,25608,2020
2027,20511,8879,29390,2020
2028,22786,10188,32974,2020
2029,25186,11880,37066,2020
2030,27978,13225,41203,2020
2031,30822,14977,45799,2020
2032,33785,16475,50260,2020
2033,37506,17941,55447,2020
2034,41305,19834,61139,2020
2035,45986,21677,67663,2020
2036,48328,23084,71412,2020
2037,51638,23249,74887,2020
2038,55673,24428,80101,2020
2039,59574,25867,85441,2020
2040,63053,25540,88593,2020
2041,68469,25913,94382,2020
2042,72223,26400,98623,2020
2043,74329,27048,101377,2020
2044,76721,27232,103953,2020
2045,80602,27905,108507,2020
2046,82603,29493,112096,2020
2047,84833,31143,115976,2020
2048,86664,32170,118834,2020
2049,92252,33079,125331,2020
2050,97514,34606,132120,2020
2051,101613,36012,137625,2020
2052,104081,36891,140972,2020
2053,103955,37042,140997,2020
2054,105163,36663,141826,2020
2055,105103,36284,141387,2020
2056,106297,35807,142104,2020
2057,108284,35286,143570,2020
2058,109211,36083,145294,2020
2059,111055,36177,147232,2020
2060,113566,36264,149830,2020
